,B_mag_0_0,G_mag_0_0,H_mag_0_0,J_mag_0_0,K_mag_0_0,Kepler_mag_0_0,Teff_0_0,V_mag_0_0,W1_mag_0_0,W2_mag_0_0,W3_mag_0_0,age_0_0,g_mag_0_0,i_mag_0_0,logL_0_0,logg_0_0,mass_0_0,r_mag_0_0,radius_0_0,z_mag_0_0,age_0,feh_0,distance_0,AV_0,B_mag,G_mag,H_mag,J_mag,K_mag,Kepler_mag,V_mag,W1_mag,W2_mag,W3_mag,g_mag,i_mag,r_mag,z_mag,lnprob
2995,16.0502096185,14.262120556,11.7649185214,12.3757245853,11.6069483694,14.2987739837,4694.95831713,14.8490529783,11.4793271033,11.4475893111,11.5950595522,10.1228462953,15.5175192482,13.9257517981,-0.987811319697,4.77813508532,0.513218550684,14.4210868725,0.484504376652,13.6083894644,10.1228462953,-1.58205674834,181.732232628,0.980065798008,16.0502096185,14.262120556,11.7649185214,12.3757245853,11.6069483694,14.2987739837,14.8490529783,11.4793271033,11.4475893111,11.5950595522,15.5175192482,13.9257517981,14.4210868725,13.6083894644,-160.808927285
2996,16.0502096185,14.262120556,11.7649185214,12.3757245853,11.6069483694,14.2987739837,4694.95831713,14.8490529783,11.4793271033,11.4475893111,11.5950595522,10.1228462953,15.5175192482,13.9257517981,-0.987811319697,4.77813508532,0.513218550684,14.4210868725,0.484504376652,13.6083894644,10.1228462953,-1.58205674834,181.732232628,0.980065798008,16.0502096185,14.262120556,11.7649185214,12.3757245853,11.6069483694,14.2987739837,14.8490529783,11.4793271033,11.4475893111,11.5950595522,15.5175192482,13.9257517981,14.4210868725,13.6083894644,-160.808927285
2997,16.0698695616,14.2713733283,11.7901863356,12.3803575477,11.6225475964,14.3105299885,4688.54541947,14.8664895068,11.4793892535,11.4323753422,11.5820319457,10.0746476676,15.5393066846,13.9301740341,-1.03030404095,4.8086486667,0.504750512007,14.4366177137,0.463904008234,13.6062090154,10.0746476676,-1.90831787491,172.894140451,0.996450147036,16.0698695616,14.2713733283,11.7901863356,12.3803575477,11.6225475964,14.3105299885,14.8664895068,11.4793892535,11.4323753422,11.5820319457,15.5393066846,13.9301740341,14.4366177137,13.6062090154,-160.808060327
2998,16.0855968915,14.2680720531,11.7493774777,12.3593326282,11.5846678104,14.3054846573,4653.42361178,14.8663869172,11.4486443168,11.4108157508,11.5560342065,10.1296871721,15.5473506201,13.9223355679,-1.02714037385,4.79305196983,0.503421473837,14.4296293315,0.471687055073,13.5971676351,10.1296871721,-1.69301158418,173.152325873,0.986112035873,16.0855968915,14.2680720531,11.7493774777,12.3593326282,11.5846678104,14.3054846573,14.8663869172,11.4486443168,11.4108157508,11.5560342065,15.5473506201,13.9223355679,14.4296293315,13.5971676351,-160.807527189
2999,16.0789968737,14.2729614213,11.7554046833,12.3718043913,11.5955677878,14.3096447112,4668.77754857,14.8659910296,11.4666333379,11.4349806275,11.5804401964,10.1234167306,15.5419780035,13.9313916162,-1.00306531094,4.78088416421,0.510614525093,14.4321603911,0.481746507068,13.6102719371,10.1234167306,-1.56865089547,178.886031007,0.981481317581,16.0789968737,14.2729614213,11.7554046833,12.3718043913,11.5955677878,14.3096447112,14.8659910296,11.4666333379,11.4349806275,11.5804401964,15.5419780035,13.9313916162,14.4321603911,13.6102719371,-160.806917283
3000,16.0753931136,14.2691528671,11.7693538351,12.3703168615,11.603510163,14.3064440361,4665.14452542,14.8638148402,11.4644839494,11.4229803344,11.5683713524,10.1301240971,15.5404695816,13.9254657985,-1.02997184902,4.79838117809,0.501225440174,14.4310868263,0.467778264325,13.6019398379,10.1301240971,-1.75307122265,173.171531394,0.981996424571,16.0753931136,14.2691528671,11.7693538351,12.3703168615,11.603510163,14.3064440361,14.8638148402,11.4644839494,11.4229803344,11.5683713524,15.5404695816,13.9254657985,14.4310868263,13.6019398379,-160.805930807
3001,16.0717437882,14.2674530889,11.7776749681,12.3709769813,11.6092018153,14.3049269614,4664.87808882,14.8625034949,11.4655435472,11.4190773083,11.5634021293,10.117330513,15.538824138,13.9229990634,-1.04328602289,4.80794265504,0.499013964052,14.4304667295,0.461635390713,13.5985975991,10.117330513,-1.88343782315,170.491385556,0.980282542151,16.0717437882,14.2674530889,11.7776749681,12.3709769813,11.6092018153,14.3049269614,14.8625034949,11.4655435472,11.4190773083,11.5634021293,15.538824138,13.9229990634,14.4304667295,13.5985975991,-160.80509622
3002,16.0717437882,14.2674530889,11.7776749681,12.3709769813,11.6092018153,14.3049269614,4664.87808882,14.8625034949,11.4655435472,11.4190773083,11.5634021293,10.117330513,15.538824138,13.9229990634,-1.04328602289,4.80794265504,0.499013964052,14.4304667295,0.461635390713,13.5985975991,10.117330513,-1.88343782315,170.491385556,0.980282542151,16.0717437882,14.2674530889,11.7776749681,12.3709769813,11.6092018153,14.3049269614,14.8625034949,11.4655435472,11.4190773083,11.5634021293,15.538824138,13.9229990634,14.4304667295,13.5985975991,-160.80509622
3003,16.0772784844,14.2668433573,11.7324134107,12.3613183801,11.5771887868,14.3042037113,4677.41964423,14.8617379052,11.4564011969,11.4326194043,11.5806339835,10.0008796687,15.5384647828,13.9273841721,-0.981348908149,4.77342307284,0.525588879829,14.4254281111,0.492975824249,13.6067032629,10.0008796687,-1.42668541609,182.265713708,0.993294046213,16.0772784844,14.2668433573,11.7324134107,12.3613183801,11.5771887868,14.3042037113,14.8617379052,11.4564011969,11.4326194043,11.5806339835,15.5384647828,13.9273841721,14.4254281111,13.6067032629,-160.804836775
3004,16.0772784844,14.2668433573,11.7324134107,12.3613183801,11.5771887868,14.3042037113,4677.41964423,14.8617379052,11.4564011969,11.4326194043,11.5806339835,10.0008796687,15.5384647828,13.9273841721,-0.981348908149,4.77342307284,0.525588879829,14.4254281111,0.492975824249,13.6067032629,10.0008796687,-1.42668541609,182.265713708,0.993294046213,16.0772784844,14.2668433573,11.7324134107,12.3613183801,11.5771887868,14.3042037113,14.8617379052,11.4564011969,11.4326194043,11.5806339835,15.5384647828,13.9273841721,14.4254281111,13.6067032629,-160.804836775
